Glacier Name (FINAL),Country,State/Province/First Order Administrative Area,Latitude,Longitude,Coverage Spatial,GLIMS ID,Historical or Variant Name,Documentation Notes - CLEAN,Documentation Notes
Fairweather Range,United States,Alaska,58.4666667,-136.8333333,"Fairweather Range (Hoonah-Angoon, Alaska, United States, North America) (mountain range)",,Mount Fairweather Range	,GNIS / Getty / no GLIMS 10/4/18 SB - Mount Fairweather B-3,GNIS / Getty / no GLIMS 10/4/18 SB - Mount Fairweather B-3
Fallen Glacier,United States,Alaska,59.97924,-139.63657,"Fallen Glacier (Yakutat, Alaska, United States, North America) (glacier)",,,"No GNIS, Getty or GLIMS 10/4/18 SB (""Between the southwestern margin of Hubbard Glacier and the northeastern side of the piedmont lobe of Malaspina Glacier, nine east- and southflowing glaciers descend from the flanks of the St. Elias Mountains to near sea level: Miller, Haenke, Turner, Fallen, Black, Galiano, Atrevida, Lucia, and Hayden Glaciers."" from https://pubs.usgs.gov/pp/p1386k/ Page K174); https://pubs.usgs.gov/pp/1074/report.pdf page 34 - ""Probably not earthquake related. Icefall from ""Fallen Glacier"" (3.5 km north of BancasPoint, A, fig. 2; Tarr, 1909, p. 67)."" Coordinates derived from USGS TopoView, based on above citations. ","No GNIS, Getty or GLIMS 10/4/18 SB (""Between the southwestern margin of Hubbard Glacier and the northeastern side of the piedmont lobe of Malaspina Glacier, nine east- and southflowing glaciers descend from the flanks of the St. Elias Mountains to near sea level: Miller, Haenke, Turner, Fallen, Black, Galiano, Atrevida, Lucia, and Hayden Glaciers."" from https://pubs.usgs.gov/pp/p1386k/ Page K174); https://pubs.usgs.gov/pp/1074/report.pdf page 34 - ""Probably not earthquake related. Icefall from ""Fallen Glacier"" (3.5 km north of BancasPoint, A, fig. 2; Tarr, 1909, p. 67)."" Coordinates derived from USGS TopoView, based on above citations. "
Falling Glacier,United States,Alaska,60.4419771,-148.5359583,"Falling Glacier (Valdez-Cordova - Kenai Peninsula, Alaska, United States, North America) (glacier)",G211469E60427N,,GNIS / Getty / GLIMS 10/4/18 SB - Seward B-5,GNIS / Getty / GLIMS 10/4/18 SB - Seward B-5
Falling Ice Glacier,United States,Wyoming,43.8333235,-110.7702775,"Falling Ice Glacier (Teton, Wyoming, United States, North America) (glacier)",G249231E43833N,,coordinates GNIS; coverage Getty; glims verified 3/12/18 AM,coordinates GNIS; coverage Getty; glims verified 3/12/18 AM
Falljökull,Iceland,Austurland,63.976256,-16.769934,"Falljökull (Austurland, Iceland, Europe) (glacier)",,,NGA GeoNames / Constructed / No GLIMS / 2/25/2019 KF,NGA GeoNames / Constructed / No GLIMS / 2/25/2019 KF
Fan Glacier,United States,Alaska,60.8652441,-143.8732175,"Fan Glacier (Valdez-Cordova, Alaska, United States, North America) (glacier)",G234512E51456N,,GNIS / Constructed / GLIMS / 2018/08/20 KF,GNIS / Constructed / GLIMS / 2018/08/20 KF
Far North Glacier,United States,Oregon,,,"Far North Glacier (Oregon, United States, North America) (glacier)",,,"From NSIDC Glacier Photograph Collection, recorded before 2017. ","From NSIDC Glacier Photograph Collection, recorded before 2017. "
Farragut River,United States,Alaska,57.1602778,-133.1458333,"Farragut River (Wrangell-Petersburg, Alaska, United States, North America) (river)",,,"Glacier information (coordinates, coverage) documented in record ""Notes"" field of digital surrogate to explain why this location was chosen for the photograph.",
Farragut River Glacier,United States,Alaska,57.1602778,-133.1458333,"Farragut River (Wrangell-Petersburg, Alaska, United States, North America) (river)",,,coordinates gnis; coverage Getty; no glims 8/17/18 AM,coordinates gnis; coverage Getty; no glims 8/17/18 AM
Fasset Glacier,United States,Alaska,59.313333,-138.538889,"Fasset Glacier (Yakutat, Alaska, United States, North America) (glacier)",G221488E59327N,,"coordinates from Bruce Molnia's USGS Professional Paper 1386-K, page K512; coverage built; glims verified 1/24/19 AM","coordinates from Bruce Molnia's USGS Professional Paper 1386-K, page K512; coverage built; glims verified 1/24/19 AM"
Favorite Glacier,United States,Alaska,58.6686295,-136.5128369,"Favorite Glacier (Hoonah-Angoon, Alaska, United States, North America) (glacier); Red Bed Peak (Hoonah-Angoon, Alaska, United States, North America) (peak)",,,"Coordinates are for Red Bed Peak, in vicinity of described area:  ""Favorite and Maynard Glaciers separated early in the 20th century; Favorite Glacier disappeared between 1919 and 1926."" - from https://pubs.usgs.gov/pp/p1386k/ page K148 10/4/18 SB - No GNIS, Getty or GLIMS","Coordinates are for Red Bed Peak, in vicinity of described area:  ""Favorite and Maynard Glaciers separated early in the 20th century; Favorite Glacier disappeared between 1919 and 1926."" - from https://pubs.usgs.gov/pp/p1386k/ page K148 10/4/18 SB - No GNIS, Getty or GLIMS"
Fay Peak,United States,Washington,46.9321324,-121.8486259,"Fay Peak (Pierce, Washington, United States, North America) (peak)",,,"Glacier information (coordinates, coverage) documented in record ""Notes"" field of digital surrogate to explain why this location was chosen for the photograph.",
Fedchenko Glacier,Tajikistan,Gorno-Badakhshan,38.71,72.33,"Fedchenko Glacier (Gorno-Badakhshan, Tajikistan, Asia) (glacier)",,,"Coordinates from NSIDC Glacier Photograph Collection, recorded before 2017. ",
Feegletscher,Switzerland,Valais,46.082158,7.87816,"Feegletscher (Saas Fee, Valais, Switzerland, Europe) (glacier)",,Feegletscher,"was originally called ""Fee North Gl."" no record of a Fee north changed to confirmed glacier Fee. coordinates & coverage Swiss Glaciers; no glims 10/30/18 AM","was originally called ""Fee North Gl."" no record of a Fee north changed to confirmed glacier Fee. coordinates & coverage Swiss Glaciers; no glims 10/30/18 AM"
Ferguson Glacier,United States,Alaska,56.025,-130.225,"Ferguson Glacier (Prince of Wales-Outer Ketchikan, Alaska, United States, North America) (glacier)",G229781E56013N,,coordinates NSIDC; coverage Getty; glims verified 8/20/18 AM,coordinates NSIDC; coverage Getty; glims verified 8/20/18 AM
Glacier de Ferpécle,Switzerland,Valais,46.010961,7.58065,"Ferpécle Glacier (Evoléne, Valais, Switzerland, Europe) (glacier)",,Glacier de Ferpécle,coorinates & coverage Swiss GLaciers; no glims 10/30/18 AM,coorinates & coverage Swiss GLaciers; no glims 10/30/18 AM
Ferrar Glacier,Antarctica,,163,-77.7667,Ferrar Glacier (Antarctica) (glacier),,,"Coordinates from NSIDC Glacier Photograph Collection, recorded before 2017. ","Coordinates from NSIDC Glacier Photograph Collection, recorded before 2017. "
Ferris Glacier,United States,Alaska,59.027,-137.17,"Ferris Glacier (Skagway - Hoonah-Angoon, Alaska, United States, North America) (glacier)",G222682E59041N,,coordinates NSIDC; coverage built; glims verified. Ferris is near Grand Pacific Glacier used the coverage Grand Pacific,coordinates NSIDC; coverage built; glims verified. Ferris is near Grand Pacific Glacier used the coverage Grand Pacific
Fiammes,Italy,Veneto,46.58583,12.12889,"Fiammes (Cortina d'Ampezzo, Belluno, Veneto, Italy, Europe) (mountain)",,,coordinates & coverage GeoNames,coordinates & coverage GeoNames
Fickett Glacier,United States,Alaska,60.5501249,-145.0180845,"Fickett Glacier (Valdez-Cordova, Alaska, United States, North America) (glacier)",G214982E60550N,,GNIS / Getty / GLIMS 10/4/18 SB,GNIS / Getty / GLIMS 10/4/18 SB
Fiero Glacier,Chile,,-46.71,-73.23,"Fiero Glacier (Chile, South America) (glacier)",,,"Glacier information (coordinates, coverage) documented in record ""Notes"" field of digital surrogate to explain why this location was chosen for the photograph.",
Fieschergletscher,Switzerland,Valais,46.508167,8.135681,"Fieschergletscher (Fieschertal, Valais, Switzerland, Europe) (glacier)",G008144E46504N,Fieschergletscher,coordinates & coverage Swiss Glaciers; glims verified 10/30/18 AM,coordinates & coverage Swiss Glaciers; glims verified 10/30/18 AM
Fimbul Ice Shelf,Antarctica,,-70.5,-0.1666667,Fimbul Ice Shelf (Antarctica) (ice shelf),,,"https://nsidc.org/cryosphere/sotc/iceshelves.html 
coverage built. no glims 8/21/18 AM","https://nsidc.org/cryosphere/sotc/iceshelves.html 
coverage built. no glims 8/21/18 AM"
Findelengletscher,Switzerland,Valais,45.996752,7.864567,"Findelengletscher (Zermatt, Valais, Switzerland, Europe) (glacier)",G007880E45990N,Findelengletscher,coordinates & coverage Swiss Glaciers; glims verified 10/30/18 AM,coordinates & coverage Swiss Glaciers; glims verified 10/30/18 AM
Finger Glacier,United States,Alaska,58.467,-137.16,"Finger Glacier (Skagway - Hoonah-Angoon, Alaska, United States, North America) (glacier)",G200762E56205N,,Washburn spreadsheet / Athea 8/2018,Washburn spreadsheet / Athea 8/2018
Finlay River,Canada,British Columbia,56.903611,-124.950556,"Finlay River (Cassiar Land District, British Columbia, Canada, North America) (river)",,,"Glacier information (coordinates, coverage) documented in record ""Notes"" field of digital surrogate to explain why this location was chosen for the photograph.",
Finsteraargletscher,Switzerland,Bern; Valais,46.5361,8.13343,"Finsteraargletscher (Guttannen - Fieschertal - Grindewald, Bern, Valais, Switzerland, Europe) (glacier)",G008135E46536N,Finsteraarhorn ,Changed name to match Swiss Confederation site. Glacier called Finsteraarhorn in wgms  - added this to variant name. Coordinates wgms csv for Finsteraarhorn E; coverage Swiss Confederation; glims wgms csv for Finsteraarhorn E,Changed name to match Swiss Confederation site. Glacier called Finsteraarhorn in wgms  - added this to variant name. Coordinates wgms csv for Finsteraarhorn E; coverage Swiss Confederation; glims wgms csv for Finsteraarhorn E
Finsterwalderbreen Glacier,Svalbard and Jan Mayen,Svalbard,77.48875,15.272751,"Finsterwalderbreen (Svalbard, Svalbard and Jan Mayen, Europe) (glacier)",G015235E77463N; G015337E77464N; G015387E77480N,Finsterwalderbreen Glacier; Finsterwalder’s Glacier,coordinates NGA Geonames / coverage NGA Geonames / GLIMS 10/30/18 SB,coordinates NGA Geonames / coverage NGA Geonames / GLIMS 10/30/18 SB
Firnalpeligletscher,Switzerland,Obwalden,46.769402,8.449353,"Firnalpeligletscher (Engelberg, Obwalden, Switzerland, Europe) (glacier)",G008462E46770N; G008449E46773N; G008443E46772N,Firnalpeligletscher,coordinates & coverage Swiss Glaciers; glims for main E & W 10/30/18 AM,coordinates & coverage Swiss Glaciers; glims for main E & W 10/30/18 AM
Fissure Glacier,United States,Montana,47.3124324,-113.8864874,"Fissure Glacier (Missoula, Montana, United States, North America) (glacier)",G246113E47313N,,coordinates gnis; coverage Getty; glims verified 8/5/18 AM,coordinates gnis; coverage Getty; glims verified 8/5/18 AM
Fjortende Julibreen,Svalbard and Jan Mayen,Svalbard,79.116667,11.9,"Fjortende Julibreen (Spitsbergen, Svalbard, Svalbard and Jan Mayen, Europe) (glacier)",G012363E79148N,Fourteenth of July Glacier; 14th of July Glacier,"NGA GeoNames / Constructed / GLIMS / 9/10/2018 KF - NGA GeoNames lists Fjortende Julibreen as approved name with ""Fourteenth of July Glacier"" as a variant. Fjortende Julibreen is used in the GLIMS database. 
Svalbard and Jan Mayen is a single administrative group according to the U.N., but it is treated as two separate entities in NGA GeoNames. The Svalbard Treaty of 1920 determines Svalbard as an area separate from the area containing Jan Mayen. The Library of Congress subject headings treat them as two separate entities.","NGA GeoNames / Constructed / GLIMS / 9/10/2018 KF - NGA GeoNames lists Fjortende Julibreen as approved name with ""Fourteenth of July Glacier"" as a variant. Fjortende Julibreen is used in the GLIMS database. 
Svalbard and Jan Mayen is a single administrative group according to the U.N., but it is treated as two separate entities in NGA GeoNames. The Svalbard Treaty of 1920 determines Svalbard as an area separate from the area containing Jan Mayen. The Library of Congress subject headings treat them as two separate entities."
Flathead National Forest,United States,Montana,,,"Flathead National Forest (Flathead, Montana, United States, North America) (forest)",,,"General coverage for area Glacier information (coordinates, coverage) documented in record ""Notes"" field of digital surrogate to explain why this location was chosen for the photograph.",
Flood Glacier,Canada,British Columbia,57.183333,-131.91667,"Flood Glacier (Cassiar Land District, British Columbia, Canada, North America) (glacier)",G227951E57069N,,Natural Resources Canada / Constructed / GLIMS / 3/8/2018 KF - North America added 9/27/18 AM,Natural Resources Canada / Constructed / GLIMS / 3/8/2018 KF - North America added 9/27/18 AM
Fonndalsbreen Glacier,Norway,Nordland,66.666667,13.7,"Fonndalsbreen (Nordland, Norway, Europe) (glacier)",G013761E66650N,Fonndalsbreen Glacier; Fondalsbræn,coordinates NGA Geonames / coverage NGA Geonames / GLIMS 10/24/18 SB,coordinates NGA Geonames / coverage NGA Geonames / GLIMS 10/24/18 SB
Fontana Bianca / Weissbrunnferner Glacier,Italy,Trentino-Alto Adige,46.4838,10.771,"Fontana Bianca / Weissbrunnferner Glacier (South Tyrol, Trentino-Alto Adige, Italy, Europe) (glacier)",G010770E46484N,,coordinates wgms csv; glims verified coverage built 11/14/18 AM http://www.glaciologia.it/wp-content/uploads/Schede_ghiacciai/0713_FONTANA_BIANCA.pdf,coordinates wgms csv; glims verified coverage built 11/14/18 AM http://www.glaciologia.it/wp-content/uploads/Schede_ghiacciai/0713_FONTANA_BIANCA.pdf
Forbidden Glacier,United States,Washington,48.5178,-121.0611,"Forbidden Glacier (Skagit, Washington, United States, North America) (glacier)",G238938E48518N,,coordinates NSIDC; coverage Getty; glims verified 8/16/18 AM,coordinates NSIDC; coverage Getty; glims verified 8/16/18 AM
Forni Glacier,Italy,Trentino-Alto Adige,46.4002,10.5862,"Forni Glacier (Trentino-Alto Adige, Italy, Europe) (glacier)",G010609E46395N,,coordinates wgms csv; glims verified coverage built 11/14/18 AM,coordinates wgms csv; glims verified coverage built 11/14/18 AM
Forno Glacier,Switzerland,Graubünden,46.316776,9.701845,"Forno Glacier (Stampa, Graubünden, Switzerland, Europe) (glacier)",G009697E46305N,Vadrec del Forno,coordinates NSIDC; coverage built; glims verified 8/21/18 AM coordinates & coverage Swiss Glaciers; glims updated to Vadrec de Forno 10/30/18 AM - Bregaglia Range,coordinates NSIDC; coverage built; glims verified 8/21/18 AM coordinates & coverage Swiss Glaciers; glims updated to Vadrec de Forno 10/30/18 AM - Bregaglia Range
Forsyth Glacier,United States,Washington,46.2101639,-122.1736324,"Forsyth Glacier (Skamania, Washington, United States, North America) (glacier)",G237830E46214N,,coordinates GNIS; coverage Getty; glims verified 2/27/18 AM,coordinates GNIS; coverage Getty; glims verified 2/27/18 AM
Fortress Mountain,United States,Washington,48.1592914,-120.9339899,"Fortress Mountain (Chelan - Snohomish, Washington, United States, North America) (peak)",,,coordinates GNIS; coverage built - mountain is in both chelan and snohomish counties; no glims verified 2/28/18,coordinates GNIS; coverage built - mountain is in both chelan and snohomish counties; no glims verified 2/28/18
Foss Glacier,United States,Washington,47.571,-121.212,"Foss Glacier (King - Kittitas, Washington, United States, North America) (glacier); Mount Hinman (King - Kittitas, Washington, United States, North America) (peak)", G238788E47571N,,"No GNIS / No Getty / GLIMS verified 10/3/18 SB (Foss glacier on Mt. Hinman, Mt. Hinman coverage used; NSIDC coordinates for Foss Glacier)","No GNIS / No Getty / GLIMS verified 10/3/18 SB (Foss glacier on Mt. Hinman, Mt. Hinman coverage used; NSIDC coordinates for Foss Glacier)"
Fox Glacier / Te Moeka o Tuawe,New Zealand,West Coast,-43.501964,170.080783,"Fox Glacier / Te Moeka o Tuawe (West Coast, New Zealand, Oceania) (glacier)",,,coordinates New Zealand Gazetteer / coverage New Zealand Gazetteer / no GLIMS / 11/1/2018 EB -verified KF,coordinates New Zealand Gazetteer / coverage New Zealand Gazetteer / no GLIMS / 11/1/2018 EB -verified KF
Fraenkel Glacier,Chile,,-46.96,-73.82,"Fraenkel Glacier (Chile, South America) (glacier)",,,"Coordinates from NSIDC Glacier Photograph Collection, recorded before 2017. ","Coordinates from NSIDC Glacier Photograph Collection, recorded before 2017. "
,France,,,,France (Europe) (nation),,,General coverage for country.,
Frank Mackie Glacier,Canada,British Columbia,56.316667,-130.16667,"Frank Mackie Glacier (Cassiar Land District, British Columbia, Canada, North America) (glacier)",,,coordinates Natural Resources Canada; coverage built; no glims 8/17/18 AM,coordinates Natural Resources Canada; coverage built; no glims 8/17/18 AM
Franklin Glacier,Canada,British Columbia,51.266667,-125.38333,"Franklin Glacier (Range 2 Coast Land District, British Columbia, Canada, North America) (glacier)",,,coordinates Natural Resources Canada; coverage built; unable to determine glims without cross-reference map in glims  1/24/19 AM,coordinates Natural Resources Canada; coverage built; unable to determine glims without cross-reference map in glims  1/24/19 AM
Franz Josef Glacier,New Zealand,West Coast,-43.475331,170.199855,"Franz Josef Glacier / Kā Roimata o Hine Hukatere (West Coast, New Zealand, Oceania) (glacier)",,,NGA GeoNames / Constructed/ No GLIMS / 11/15/2018 KF,NGA GeoNames / Constructed/ No GLIMS / 11/15/2018 KF
Frederick Sound,United States,Alaska,57.1766667,-133.9063889,"Frederick Sound (Petersburg - Hoonah-Angoon - Wrangell, Alaska, United States, North America) (bay)",,Frederick Strait; Fridrikhe Zund; Prince Frederick Sound; Prince Fredericks Sound,GNIS / Getty / no GLIMS 10/4/18 SB - Sumdum A-6,GNIS / Getty / no GLIMS 10/4/18 SB - Sumdum A-6
Frederika Glacier,United States,Alaska,61.7789481,-142.286421,"Frederika Glacier (Valdez-Cordova, Alaska, United States, North America) (glacier)",G217714E61779N,,GNIS / Getty / GLIMS 10/4/18 SB - McCarthy D-4,GNIS / Getty / GLIMS 10/4/18 SB - McCarthy D-4
Fredrikson Lake,Canada,British Columbia,56.959722,-126.519167,"Fredrikson Lake (Cassiar Land District, British Columbia, Canada, North America) (lake)",,,"Glacier information (coordinates, coverage) documented in record ""Notes"" field of digital surrogate to explain why this location was chosen for the photograph.",
Fremont Lake,United States,Wyoming,42.9534681,-109.8037198,"Fremont Lake (Sublette, Wyoming, United States, North America) (lake)",,,"Glacier information (coordinates, coverage) documented in record ""Notes"" field of digital surrogate to explain why this location was chosen for the photograph.",
Freya Glacier,Greenland,,74.38,-20.82,"Freya Glacier (Greenland, North America) (glacier)",,,"Coordinates from NSIDC Glacier Photograph Collection, recorded before 2017. ","Coordinates from NSIDC Glacier Photograph Collection, recorded before 2017. "
Frías Glacier (Ventisquero Frías),Argentina,Río Negro,-41.146918,-71.826549,"Ventisquero Frías (Mount Tronador, Río Negro, Argentina, South America) (glacier)",,Frías Glacier,NGA GeoNames / built / No GLIMS / 11/7/2018 KF,NGA GeoNames / built / No GLIMS / 11/7/2018 KF
Fridtjovbreen Glacier,Svalbard and Jan Mayen,Svalbard,77.830379,14.450446,"Fridtjovbreen (Svalbard, Svalbard and Jan Mayen, Europe) (glacier)",G014442E77835N,Fridtjovbreen Glacier; Axels Isbrä; Bell-sunds-jökeln; Frithiofs Glacier; Frithiofs Isfjell; Frithjof Bræ; Fritjofjäätikkö; Glockensundgletscher,coordinates NGA Geonames / coverage NGA Geonames / GLIMS 11/1/18 SB,coordinates NGA Geonames / coverage NGA Geonames / GLIMS 11/1/18 SB
Frosty Peak,United States,Alaska,55.0741667,-162.8111111,"Frosty Peak (Aleutians East, Alaska, United States, North America) (peak)",,,GNIS / Getty / no GLIMS 10/4/18,GNIS / Getty / no GLIMS 10/4/18
Fryingpan Basin,United States,Colorado,40.8416392,-106.642261,"Fryingpan Basin (Jackson, Colorado, United States, North America) (basin)",,,"Glacier information (coordinates, coverage) documented in record ""Notes"" field of digital surrogate to explain why this location was chosen for the photograph.",
Fryingpan Glacier,United States,Washington,46.8422076,-121.6908667,"Fryingpan Glacier (Pierce, Washington, United States, North America) (glacier)",G238317E46854N,,coordinates GNIS; coverage Getty; glims verified 6/19/18 AM - no space between Frying and Pan confirmed 2/15/19 AM,coordinates GNIS; coverage Getty; glims verified 6/19/18 AM - no space between Frying and Pan confirmed 2/15/19 AM
Furggen Ridge,Switzerland,,47.175855,9.10622,"Furggen Ridge (Switzerland, Europe) (pass)",,,"Glacier information (coordinates, coverage) documented in record ""Notes"" field of digital surrogate to explain why this location was chosen for the photograph.",
Fusillade Mountain,United States,Montana,48.6398892,-113.723158,"Fusillade Mountain (Glacier, Montana, United States, North America) (peak)",,,"Glacier information (coordinates, coverage) documented in record ""Notes"" field of digital surrogate to explain why this location was chosen for the photograph.",
Fyles Glacier,Canada,British Columbia,52.083333,-126.25,"Fyles Glacier (British Columbia, Canada, North America) (glacier)",G233759E52075N,,coordinates Natural Resources Canada / coverage Natural Resources Canada / GLIMS verified / 11/7/2018 EB,coordinates Natural Resources Canada / coverage Natural Resources Canada / GLIMS verified / 11/7/2018 EB
G3 Glacier,Bhutan,Wangdue Phodrang,27.9265,90.2761,"G3 Glacier (Wangdue Phodrang, Bhutan, Asia) (glacier)",,,"Coordinates from NSIDC Glacier Photograph Collection, recorded before 2017. ",
G4 Glacier,Bhutan,Wangdue Phodrang,27.9056,90.2557,"G4 Glacier (Wangdue Phodrang, Bhutan, Asia) (glacier)",,,"Coordinates from NSIDC Glacier Photograph Collection, recorded before 2017. ",
Gabelhorngletscher,Switzerland,Valais,46.0378,7.67759,"Gabelhorngletscher (Zermatt, Valais, Switzerland, Europe) (glacier)",G007676E46037N,Untergabelhorn Glacier,coordinates & glims wgms csv; coverage Swiss Confederate 11/14/18 AM,coordinates & glims wgms csv; coverage Swiss Confederate 11/14/18 AM
Gade Gletscher,Greenland,Qaasuitsup,76.366944,-62.831944,"Gade Gletscher (Qaasuitsup, Greenland, North America) (glacier)",,Gade Glacier; Gades Bræ,NGA GeoNames / Constructed (No Getty) / GLIMS (none) / 9/26/2018,NGA GeoNames / Constructed (No Getty) / GLIMS (none) / 9/26/2018
Gakona Glacier,United States,Alaska,63.2497482,-145.1931606,"Gakona Glacier (Southeast Fairbanks, Alaska, United States, North America) (glacier)",G214814E63241N,,GNIS - Mount Hayes A-3 / Constructed / GLIMS / 2/6/2018 KF,GNIS - Mount Hayes A-3 / Constructed / GLIMS / 2/6/2018 KF
Galiano Glacier,United States,Alaska,59.9611,-139.7213,"Galiano Glacier (Yakutat, Alaska, United States, North America) (glacier)",G220289E59979N,,coordinates NSIDC database; coverage built; glims verified 3/12/18 AM,coordinates NSIDC database; coverage built; glims verified 3/12/18 AM
Gamchi Glacier,Switzerland,Reichenbach,46.509739,7.796938,"Gamchi Glacier (Reichenbach, Bern, Switzerland, Europe) (glacier)",G007813E46500N,Gamchigletscher,http://swiss-glaciers.glaciology.ethz.ch/glacierlist.html coordinates & coverage Swiss Glaciers; glims verified 10/31/18 AM,http://swiss-glaciers.glaciology.ethz.ch/glacierlist.html coordinates & coverage Swiss Glaciers; glims verified 10/31/18 AM
Gangotri Glacier,India,Himalaya; Central,30.903,79.092,"Gangotri Glacier (Himalaya, Central, India, Asia) (glacier)",,,"Coordinates from NSIDC Glacier Photograph Collection, recorded before 2017. ",
Gannett Glacier,United States,Wyoming,43.1957846,-109.6454278,"Gannett Glacier (Fremont, Wyoming, United States, North America) (glacier)",G250356E43195N,,GNIS / Getty / GLIMS / KF 6/12/2018,GNIS / Getty / GLIMS / KF 6/12/2018
Gannett Peak,United States,Wyoming,43.1844954,-109.6541119,"Gannett Peak (Fremont - Sublette, Wyoming, United States, North America) (peak)",,,GNIS / Constructed / No GLIMS / 11/21/2018 KF,GNIS / Constructed / No GLIMS / 11/21/2018 KF
Garabashi Glacier,Russian Federation,Kabardino-Balkaria,43.3,42.47,"Garabashi Glacier (Kabardino-Balkariya, Russian Federation, Asia) (glacier)",,,"Coordinates from NSIDC Glacier Photograph Collection, recorded before 2017. ",
Garibaldi Lake,Canada,British Columbia,49.936944,-123.025556,"Garibaldi Lake (New Westminster Land District, British Columbia, Canada, North America) (lake)",,,"Glacier information (coordinates, coverage) documented in record ""Notes"" field of digital surrogate to explain why this location was chosen for the photograph.",
Garrison Glacier,United States,Alaska,59.1373614,-135.7512782,"Garrison Glacier (Haines, Alaska, United States, North America) (glacier)",G224303E59144N,Garrison Glaciers,GNIS / Getty / GLIMS 10/4/18 SB - Skagway A-3,GNIS / Getty / GLIMS 10/4/18 SB - Skagway A-3
Gauligletscher,Switzerland,Bern,46.61582,8.182762,"Gauligletscher (Innertkirchen, Bern, Switzerland, Europe) (glacier)",G008156E46616N,Gauligletscher,coordinates & coverage Swiss Glaciers; glims verified 10/31/18 AM,coordinates & coverage Swiss Glaciers; glims verified 10/31/18 AM
Glacier de Gebraoulaz,France,Auvergne-Rhône-Alpes,45.2979,6.6288,"Glacier de Gebroulaz (Savoy, Auvergne-Rhône-Alpes, France, Europe) (glacier)",,Glacier de Gebroulaz,coordinates wgms csv; no glims 11/14/18 AM coverage built 11/15/18 AM,coordinates wgms csv; no glims 11/14/18 AM coverage built 11/15/18 AM
Geikie Glacier,United States,Alaska,58.5715488,-136.6132676,"Geikie Glacier (Skagway - Hoonah-Angoon, Alaska, United States, North America) (glacier)",G223382E58570N,,coordinates GNIS; coverage Getty; glims verified 2/13/18 AM,coordinates GNIS; coverage Getty; glims verified 2/13/18 AM
Geikie Inlet,United States,Alaska,58.6297222,-136.4313889,"Geikie Inlet (Skagway - Hoonah-Angoon, Alaska, United States, North America) (bay)",,,coordinates GNIS; coverage built no glims 2/7/19 AM,coordinates GNIS; coverage built no glims 2/7/19 AM
Geltengletscher,Switzerland,Bern,46.35104,7.341205,"Geltengletscher (Lauenen, Bern, Switzerland, Europe) (glacier)",G007341E46350N; G007323E46348N,Geltengletscher,coordinates & coverage Swiss glaciers; 2 glims for E & W 11/07/18 AM,coordinates & coverage Swiss glaciers; 2 glims for E & W 11/07/18 AM
Gem Glacier,United States,Montana,48.7466428,-113.7278936,"Gem Glacier (Glacier, Montana, United States, North America) (glacier)",G246273E48746N,,coordinates GNIS; coverage Getty; glims verified 6/19/18 AM,coordinates GNIS; coverage Getty; glims verified 6/19/18 AM
,Georgia,,,,Georgia (Asia) (nation),,,General coverage for country.,
Gepatschferner Glacier,Austria,Tyrol,46.85,10.77,"Gepatschferner Glacier (Austria, Europe) (glacier)",,,"Coordinates from NSIDC Glacier Photograph Collection, recorded before 2017. ","Coordinates from NSIDC Glacier Photograph Collection, recorded before 2017. "
Gergeti Glacier,Georgia,Mtskheta-Mtianeti,42.692,44.499,"Mq’invari Gergeti (Mtskheta-Mtianeti, Georgia, Asia) (glacier)",G044499E42692N,Gergeti Glacier; მყინვარი გერგეთი; Lednik Gergetskiy,NSIDC coordinates / coverage constructed / GLIMS 11/7/18 SB -KF verified,NSIDC coordinates / coverage constructed / GLIMS 11/7/18 SB -KF verified
Gerstle Glacier,United States,Alaska,63.4808,-145.3228,"Gerstle Glacier (Southeast Fairbanks, Alaska, United States, North America) (glacier)",G214675E63462N,,coordinates NSIDC; coverage Getty; glims verified 7/5/18 AM,coordinates NSIDC; coverage Getty; glims verified 7/5/18 AM
Gerstle River,United States,Alaska,64.0569444,-145.1352778,"Gerstle River (Southeast Fairbanks, Alaska, United States, North America) (river)",,,"Glacier information (coordinates, coverage) documented in record ""Notes"" field of digital surrogate to explain why this location was chosen for the photograph.",
Gibbs Canyon,United States,Alaska,37.8989962,-119.1850401,"Gibbs Canyon (Mono, California, United States, North America) (valley)",,,"Glacier information (coordinates, coverage) documented in record ""Notes"" field of digital surrogate to explain why this location was chosen for the photograph.",
Giesecke Glacier,Greenland,Qaasuitsup,73.583333,-55.25,"Giesecke Bræer (Qaasuitsup, Greenland, North America) (glacier)",,Gieseckes Bræer; Gieseckes Glacier; Giesecke Glacier,NGA GeoNames / Constructed (No Getty) / GLIMS (none) / 9/26/2018,NGA GeoNames / Constructed (No Getty) / GLIMS (none) / 9/26/2018
Glacier du Giétro,Switzerland,Valais,45.995746,7.387011,"Glacier du Giétro (Bagnes, Valais, Switzerland, Europe) (glacier)",G007394E45986N,Glacier du Giétro,coordinates & coverage Swiss Glaciers; no glims 10/31/18 AM glims confirmed 11/07/18 AM,coordinates & coverage Swiss Glaciers; no glims 10/31/18 AM glims confirmed 11/07/18 AM
